manip	postatt1	preatt1	biology	notbiology	lib3ptC	ageB	male	hisp	black	educ	religosity	biolib3ptC	notbiolib3ptC	pgenetint	pgaymar	postgaymar	pgaycu	postgaycu	pgayadopt	postgayadopt	preright3	postright3	pgayimmoral	postgayimmoral	pgayaccept	postgayaccept	pgaychild	postgaychild	premoral	postmoral	pgaytherm	postgaytherm	pstrtherm	poststrtherm	prehomhetdif	posthomhetdif	knowgay	prot	cath	bornagain
0	0.25	0.0	0	1	-0.5	0.633802816901408	0	0	0	0.0	0.0	0.0	-0.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-1.0	-1.0	0	0	0	0
1	0.25	0.0	0	1	0.0	0.211267605633803	1	0	0	0.75	0.8	0.0	0.0	0.666666666666667	0.2	0.0	0.8	1.0	0.2	0.0	0.400000005960464	0.333333343267441	0.2	0.0	0.2	0.4	0.666666666666667	0.666666666666667	0.200000002980232	0.200000002980232	0.5	0.8	0.5	0.8	0.0	0.0	1	0	0	1
0	0.25		1	0	0.0	0.183098591549296	0	0	0	0.25	0.0	0.0	0.0	1.0									0.0	0.0		0.0				0.0	0.0	0.5	0.0	0.5	0.0	0.0	0	0	0	0
1	0.5	0.5	0	0	-0.5	0.71830985915493	0	0	0	0.75	1.0	0.0	0.0	0.333333333333333	0.0	0.0	0.0	0.0	0.2	0.2	0.0666666701436043	0.0666666701436043	0.0	0.0	0.0	0.0	0.0	0.333333333333333	0.0	0.0	0.1	0.1	1.0	0.7	-0.899999976158142	-0.600000023841858	0	1	0	1
1	0.75	1.0	0	0	0.5	0.690140845070423	1	0	0	0.5	0.0	0.0	0.0	0.333333333333333	1.0	0.8	1.0	0.8	0.8	0.8	0.933333337306976	0.800000011920929	0.8	0.8	0.8	0.8	1.0	1.0	0.800000011920929	0.800000011920929	0.8	0.8	0.8	0.9	0.0	-0.100000001490116	1	0	0	0
1	0.75	0.75	0	1	0.5	0.0845070422535211	1	1	0	0.75	0.0	0.0	0.5	0.333333333333333	1.0	1.0	1.0	0.6	1.0	1.0	1.0	0.866666674613953	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.63	0.7	0.6	0.0500000007450581	0.0299999993294477	1	0	0	0
1	1.0	1.0	0	0	0.0	0.535211267605634	0	0	0	0.75	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1	0	0	0
1	0.25	0.25	1	0	-0.5	0.464788732394366	1	0	0	0.75	0.8	-0.5	0.0	0.333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.2	0.0	0.0	0.200000002980232	0.200000002980232	0.3	0.2	0.8	1.0	-0.5	-0.800000011920929	1	0	0	1
1	0.5	0.75	0	1	0.0	0.577464788732394	0	0	0	0.5	0.2	0.0	0.0	0.666666666666667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.9	0.6	0.9	0.0	0.0	1	1	0	0
1	0.5	0.75	0	1	0.0	0.23943661971831	0	0	0	1.0	0.6	0.0	0.0	0.333333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.8	1.0	1.0	0.666666666666667	0.333333333333333	0.800000011920929	0.899999976158142	0.9	0.9	0.9	1.0	0.0	-0.100000001490116	1	0	0	0
